x
TTTY14
EIF1AY
PRKY
TTTY15
RPS4Y2
NAA10
TAF9B
ZIC3
TGIF2LX
IQSEC2
NHS
TBC1D25
PCSK1N
HPRT1
PGK1
VBP1
LOC550643
MAGEB2
RAB33A
MCART6
PRAF2
PGRMC1
UBL4A
IL1RAPL2
ARAF
OPHN1
MBTPS2
LRCH2
KAL1
SMS
PHKA2
PLP2
USP51
KIAA1210
BCORL1
ARX
ZRSR2
RBBP7
SLC16A2
DDX3X
TSPAN7
EFNB1
GABRQ
GPKOW
POF1B
XIST
ARMCX4
MOSPD1
FAM123B
GAGE10
PPP1R3F
RAB41
SUV39H1
PPP1R2P9
DGKK
OPN1LW
PRPS1
WDR44
SLC9A7
HUWE1
MTMR1
ATP6AP1
XIAP
RPL39
MXRA5
MIR505
MAGEA1
LUZP4
GDI1
MAGEC2
MAOA
ESX1
VCX
LAGE3
PDZD4
MAP3K15
POLA1
NUDT11
GPR50
MSN
HDAC6
KDM6A
GPC4
ATP6AP2
MED14
EFHC2
NRK
RPL36A
TCEAL2
THOC2
FAM155B
AP1S2
SMEK3P
YIPF6
ZBTB33
FAM120C
MAP7D3
MAOB
RAI2
NUDT10
BEND2
ZNF275
TCEANC
ZNF711
MAGEB10
DYNLT3
NR0B1
PTCHD1
GPM6B
PAGE1
SYP
RBMX2
MMGT1
TMEM47
APLN
ARHGEF9
ZNF185
ARHGEF6
CCDC160
UBE2DNL
PDHA1
MTMR8
CA5B
EMD
FAM50A
GPR143
CDX4
NHSL2
TCEAL7
TCEAL6
COX7B
SLITRK4
USP11
RP2
SLC25A43
NKAP
PHEX
XKRX
FAM9C
FUNDC2
CXorf38
PRICKLE3
PIM2
CLCN4
KCND1
IGBP1
NXT2
PRDX4
DLG3
TSR2
TSPAN6
APEX2
ARMCX1
TFE3
FGD1
VMA21
APOOL
SASH3
PHF8
DDX26B
EIF1AX
TSPYL2
LOC442459
IL13RA1
TMEM185A
FRMPD4
LOC100132831
SMPX
AR
CACNA1F
GABRE
LOC286467
RAP2C
NPHP4
ZNF362
CD2
PRPF38B
KIF26B
C1orf74
GLT25D2
C1orf180
PPP1R15B
NID1
SLC41A1
CLIC4
ZNF670
PIGV
THRAP3
TMCC2
C1orf35
SAMD11
KIF2C
CHRNB2
DMRTA2
KDM4A
BMP8B
CR1L
CDC73
CLK2
TLR5
TMEM82
INPP5B
CRCT1
F3
SPAG17
RCAN3
CAMTA1
NMNAT2
VWA5B1
FLJ40434
SSU72
HSPG2
WASH5P
GABRD
TMEM167B
ERO1LB
SEMA6C
DIRAS3
EFNA3
PAQR7
SLC25A33
GNAI3
FAF1
RPA2
ZNF642
GPR157
EIF4G3
IGFN1
TCHH
ATAD3C
LSM10
RPL5
MRPS14
PTGS2
ZBTB17
GBAP1
VAMP3
DHRS3
SNX27
TPRG1L
PEX14
PPFIA4
IL22RA1
IGSF21
AGBL4
MAN1C1
HEATR1
PTBP2
LOC148709
C1orf106
CHD5
CROCC
OMA1
PCSK9
SNIP1
EPHA2
TAL1
MEGF6
FAM163A
ELAVL4
FHAD1
AIM1L
NUAK2
PLXNA2
YBX1
LOC400794
TTC24
TTC39A
GIPC2
RLF
FAAH
SLC6A17
LMO4
CDCP2
MCOLN3
RAB3B
TNFRSF4
RNF207
TSPAN2
FMN2
SESN2
SYT6
SPATA6
MEAF6
RGS7
ARHGEF19
PLEKHA6
ZSWIM5
CD164L2
CNIH3
KIAA1751
SLC35D1
NOTCH2
VAMP4
SLC2A1
DNAJC6
FUCA1
MATN1
FAM5B
CTBS
CEP350
STXBP3
PIK3CD
KIAA1614
NUCKS1
RHOU
FOXJ3
CRABP2
EPS15
MTR
NUDC
SLC1A7
RRAGC
FAM78B
TXLNA
ASPM
B4GALT3
ABCB10
WNT9A
ARHGEF16
ZNF687
LOC388588
ZZZ3
AGRN
BMP8A
COL9A2
GREM2
BCAS2
KDM5B
PRDX6
HPCA
G0S2
GPR153
CCDC19
PAFAH2
LHX8
CRTC2
PHF13
AGMAT
STX6
PLEKHG5
VANGL2
BCAR3
C1orf146
HTR6
OLFM3
S100A11
FAM41C
RNF187
TNFRSF1B
THEM4
OPN3
SLC2A7
LYPLAL1
SRRM1
SRM
TFAP2E
CCDC17
PLEKHM2
LHX4
CAPZB
RPL11
CNIH4
ZMPSTE24
PPM1J
GJC2
C1orf159
PRKCZ
SYTL1
LOC148696
PDE4DIP
STK40
TIE1
PANK4
SLC35E2
RNPEP
SLC35A3
SMYD3
BEST4
IGSF8
SH3BP5L
DUSP27
GJA4
CLSPN
NAV1
NBPF3
MIR137
TADA1
LIN9
ALDH9A1
MST1P9
HCN3
C1orf95
CELA2A
PIGK
WNT4
ACTA1
HORMAD1
IVNS1ABP
ATP1A4
TMEM206
DHX9
ESPNP
ZNF593
TRIM62
KLF17
F11R
PTGFRN
MSTO1
PLK3
SEMA4A
FAM183A
MAP7D1
PLOD1
GJA8
CDCA8
NUP133
PMF1
CD1D
CYB5R1
RAB3GAP2
ANGEL2
TDRD5
STX12
PRPF3
ADSS
LIX1L
RABIF
FAM159A
PRKAA2
